Procurement Reference (Mandatory for Third Party - 1ø Tier Vendor)  or IBM identification Nbr. |Entity Name (IBM or Third Party vendor) |Country/Address|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors |Tool Name/Tool Reference| In what category is the Vendor's Service Description ? (using the categories in GSAR (Global Solution Architecture Repository)) |On boarding|Off-Boarding|Tool Owner| Assesment Owner|NOTE|Does this Vendor Process Client Controlled PD ? Yes / No
1000392210|SERVICENOW INC|UNITED STATES|N/A| QuickStart for ServiceNow|Identity & Access Management (*all)  also providing the Platform aaS|42005||Tim Griffin|Stephen Hobbs|No planned off-boarding date|
A00013|ARICENT TE|SRI LANKA|N/A|QuickStart for ICD|Providing the base offering|42005||Tim Griffin|Stephen Hobbs|No planned off-boarding date|
IBM_EXP0057|IBM Data Storage Systems Information Technology LLC|De kv ri fasor 16 -? 18 2600 V c  -  Hungary|N/A|Enterprise Compliance Management (ECM) Instances: AG  EMEA  AP|Integrated Service and Support Management |||Evelyn Anderson/Houston/IBM|Daniel Bohm/Hungary/IBM|ECM tool support for AG  AP and EMEA instances.|
IBM_IMP0096|IBM India Private Limited|No.12  Subramanya Arcade  Bannerghatta Main Road  Bangaluru - 560029  -   India|N/A|Enterprise Compliance Management (ECM) Instances: AP  India|Integrated Service and Support Management |||Evelyn Anderson/Houston/IBM|Daniel Bohm/Hungary/IBM|ECM tool support for AP and India instances.|
IBM_EXP0057|IBM Data Storage Systems Information Technology LLC|De kv ri fasor 16 -? 18 2600 V c  -  Hungary|N/A|Enterprise Compliance Management (ECM) EMEA prod instance|Mainframe Middleware  Databases  Servers (and Other)  Storage Management|||Evelyn Anderson/Houston/IBM|Daniel Bohm/Hungary/IBM|Server/Database support for EMEA Montpellier server|
IBM_EXP0130|IBM Romania Srl|Bucharest Business Park  Sos Bucuresti Ploiesti 1A  Building A2  Bucharest 013681Bucharest Business Park  Sos Bucuresti Ploiesti 1A  Building A2  Bucharest 013682  -  Romania|N/A|Enterprise Compliance Management (ECM) Cloud managed instances: AG  AP  EMEA|Mainframe Middleware  Databases  Servers (and Other)  Storage Management|||Evelyn Anderson/Houston/IBM|Daniel Bohm/Hungary/IBM|Support for Cloud Managed instances (AG  AP  EMEA pre-prod) Including OS and network support|
IBM_IMP0064|IBM Solution and Services (Shenzhen) Co.  Ltd.|Floor 4&#65292;Dashi Building(workshop C2)  No.007 Keji Nansan Road  Nanshan District  518057  -   China|N/A|Enterprise Compliance Management (ECM) Instances: AP  India|Mainframe Middleware  Databases  Servers (and Other)  Storage Management|||Evelyn Anderson/Houston/IBM|Daniel Bohm/Hungary/IBM|Database support for AP CMS and India|
03341093|AT&T GLOBA|BRAZIL|N/A|UAT (User Administration Tool) ? Shared Instance|Managed Network Services|39448||Victor Oliveira Almeida|Frederico Durigon Marques||
7003819|AT&T GLOBA|NEW ZEALAND|N/A|UAT (User Administration Tool) ? ANZ Instance|Managed Network Services|42005||Victor Oliveira Almeida|Frederico Durigon Marques||
1000195612|AT&T|UNITED STATES|N/A|UAT (User Administration Tool) ? US & CA Instances|Managed Network Services|42005||Victor Oliveira Almeida|Frederico Durigon Marques||
IBM_IMP0032|Softlayer Technologies do Brasil Ltda.|Rua Presbitero Plinio Alves De Souza  n. 757  Bairro Medeiros  Jundiai  13212-181  -   Brazil|N/A|UAT (User Administration Tool) ? Shared Instance|DistributedServer Management ? Distributed Storage Management ? Distributed|43189||Victor Oliveira Almeida|Frederico Durigon Marques||
IBM_IMP0329|Softlayer Technologies  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|UAT (User Administration Tool) ? US Instance|DistributedServer Management ? Distributed Storage Management ? Distributed|42005||Victor Oliveira Almeida|Frederico Durigon Marques||
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|UAT (User Administration Tool) ? ANZ Instance|DistributedServer Management ? Distributed Storage Management ? Distributed|42005||Victor Oliveira Almeida|Frederico Durigon Marques||
IBM_IMP0096|IBM India Private Limited|No.12  Subramanya Arcade  Bannerghatta Main Road  Bangaluru - 560029  -   India|N/A|UAT (User Administration Tool) ? ANZ & Shared Instances|Systems Management Operations (SMO)|42005||Victor Oliveira Almeida|Frederico Durigon Marques||
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straáe 30-34  65936 Frankfurt am Main  -  Germany|N/A|GSMRT/BAS EMEA (Business Analytics Services)|System Management Operations|42430||Emma  Scollan|Gabor  Gerenday||Yes
1000258866|PERSISTENT SYSTEMS LIMITED|UNITED STATES|N/A|BigFix (formerly IBM)|Delivery Tools - Infrastructure|43101|43465|Crowther  Dorothy|Jack Healy/Ireland/IBM|Contract is annual and exptected to renew|No
?|IBA|Belarus|N/A|BigFix (formerly IBM)|Delivery Tools - Infrastructure|43101|43465|Crowther  Dorothy|Jack Healy/Ireland/IBM|Contract is annual and exptected to renew|No
1000200189|BDU CONSULTING AG                  |SWITZERLAND|N/A|RADIX (PID00106760)|Integrated Service and Support Management |39264||Maurice Ruch|no off-boarding planed||No
1000276911|ONIKO AG                           |SWITZERLAND|N/A|RADIX (PID00106760)|Integrated Service and Support Management |41640||Maurice Ruch|no off-boarding planed||No
IBM_IMP0289|Kenexa Government Solutions  Inc.|1675 Broadway  Suite 1200  CO-80202  -   USA|N/A|UserID Revalidation Tool (URT) Instance : URT AG|IBM AIX Standard Edition Version 7.1 - Jumbo - bldsarmurtprd02|||Evelyn Anderson/Houston/IBM|Alejandro Antonio Rodriguez Mann/Costa Rica/IBM|URT OS-AIX  VM-bldsarmurtprd02  Proejct/Team - URT BLD  SAM Name-Boulder Prod|
IBM_IMP0289|Kenexa Government Solutions  Inc.|1675 Broadway  Suite 1200  CO-80202  -   USA|N/A|UserID Revalidation Tool (URT) Instance : URT AG|IBM AIX Standard Edition Version 7.1 - Medium -bldsarmurtpre01|||Evelyn Anderson/Houston/IBM|Alejandro Antonio Rodriguez Mann/Costa Rica/IBM|URT OS-AIX  VM-bldsarmurtpre01  Proejct/Team - URT BLD  SAM Name-Boulder Prod|
IBM_EXP0036|IBM Deutschland Business & Technology Services GmbH|IBM-Allee 1  71139 Ehningen   -  Germany|N/A|UserID Revalidation Tool (URT) Instance :  EMEA|IBM AIX Standard Edition Version 7.1 - Jumbo - ehnsarmurtprd02|||Evelyn Anderson/Houston/IBM|Alejandro Antonio Rodriguez Mann/Costa Rica/IBM|URT OS-AIX  VM-ehnsarmurtprd02  Proejct/Team - URT EHN  SAM Name-Ehningen Prod.|
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|UserID Revalidation Tool (URT) Instance : AP|IBM AIX Standard Edition Version 7.1 - Jumbo - sydsarmurtprd02|||Evelyn Anderson/Houston/IBM|Alejandro Antonio Rodriguez Mann/Costa Rica/IBM|URT OS-AIX  VM-sydsarmurtprd02  Proejct/Team - URT SYD  SAM Name-Sydney Prod|
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|UserID Revalidation Tool (URT) Instance : AP|IBM AIX Standard Edition Version 7.1 - Medium - sydsarmurtpre01|||Evelyn Anderson/Houston/IBM|Alejandro Antonio Rodriguez Mann/Costa Rica/IBM|URT OS-AIX  VM-sydsarmurtpre01  Proejct/Team - URT SYD  SAM Name-Sydney Prod|
1000211195|AT&T GLOBAL NETWORK                |ITALY|N/A|IBM Control Desk|Managed Network Services|38718|46021|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
00292486000|AT&T GLOBA|AUSTRALIA|N/A|IBM Control Desk|Managed Network Services|38718|46022|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
03341093|AT&T GLOBA|BRAZIL|N/A|IBM Control Desk|Managed Network Services|38718|46023|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
96831890-K|AT&T|CHILE|N/A|IBM Control Desk|Managed Network Services|38718|46024|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000152067|AT&T GLOBAL NETWORK SERVICES HONG|CHINA|N/A|IBM Control Desk|Managed Network Services|38718|46025|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000378751|AT&T ZHONG GUO YOU XIAN GONG SI|CHINA|N/A|IBM Control Desk|Managed Network Services|38718|46026|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
8300605585|AT&T GLOBA|COLOMBIA|N/A|IBM Control Desk|Managed Network Services|38718|46027|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000131438|AT&T GLOBAL NETWORK SERVICES       |DENMARK|N/A|IBM Control Desk|Managed Network Services|38718|46028|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1791434749001|AT&T GLOBA|ECUADOR|N/A|IBM Control Desk|Managed Network Services|38718|46029|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000253256|AT&T CORP                          |GERMANY|N/A|IBM Control Desk|Managed Network Services|38718|46030|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000134841|AT&T GLOBAL NETWORK SERV ESPANA SL |GERMANY|N/A|IBM Control Desk|Managed Network Services|38718|46031|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000094827|AT&T GLOBAL NETWORK SERVICES       |GERMANY|N/A|IBM Control Desk|Managed Network Services|38718|46032|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000131460|AT&T GLOBAL NETWORK SERVICES       |GERMANY|N/A|IBM Control Desk|Managed Network Services|38718|46033|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000201077|AT&T GLOBAL NETWORK SERVICES       |GERMANY|N/A|IBM Control Desk|Managed Network Services|38718|46034|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000211195|AT&T GLOBAL NETWORK SERVICES       |GERMANY|N/A|IBM Control Desk|Managed Network Services|38718|46035|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000388438|AT&T SERVICOS TELECOMUNICAQOES     |GERMANY|N/A|IBM Control Desk|Managed Network Services|38718|46036|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
A00366|AT&T|HONG KONG|N/A|IBM Control Desk|Managed Network Services|38718|46037|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
A0023|AT&T COMMU|INDIA|N/A|IBM Control Desk|Managed Network Services|38718|46038|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
A0631|AT&T GLOBA|INDIA|N/A|IBM Control Desk|Managed Network Services|38718|46039|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
199975|AT&T JAPAN KK|JAPAN|N/A|IBM Control Desk|Managed Network Services|38718|46040|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000094528|AT&T GLOBAL NETWORK SERVICES       |NETHERLANDS|N/A|IBM Control Desk|Managed Network Services|38718|46041|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
7003819|AT&T GLOBA|NEW ZEALAND|N/A|IBM Control Desk|Managed Network Services|38718|46042|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000131437|AT&T GLOBAL NETWORK SERVICES       |NORWAY|N/A|IBM Control Desk|Managed Network Services|38718|46043|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
A97131|AT&T GLOBA|PHILIPPINES|N/A|IBM Control Desk|Managed Network Services|38718|46044|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
I02877|AT&T SERVI|PORTUGAL|N/A|IBM Control Desk|Managed Network Services|38718|46045|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
A586|AT&T WORLD|SINGAPORE|N/A|IBM Control Desk|Managed Network Services|38718|46046|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000133604|AT&T SOUTH AFRICA PTY LTD          |SOUTH AFRICA|N/A|IBM Control Desk|Managed Network Services|38718|46047|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
A00088|AT&T GLOBA|SOUTH KOREA|N/A|IBM Control Desk|Managed Network Services|38718|46048|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
70385149|AT&T GLOBA|TAIWAN|N/A|IBM Control Desk|Managed Network Services|38718|46049|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000195612|AT&T|UNITED STATES|N/A|IBM Control Desk|Managed Network Services|38718|46050|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000125745|AT&T|UNITED STATES|N/A|IBM Control Desk|Managed Network Services|38718|46051|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000169757|AT&T DATACOMM INC|UNITED STATES|N/A|IBM Control Desk|Managed Network Services|38718|46052|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000120299|AT&T MOBILITY|UNITED STATES|N/A|IBM Control Desk|Managed Network Services|38718|46053|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
A473|AT&T GLOBAL NETW|VENEZUELA|N/A|IBM Control Desk|Managed Network Services|38718|46054|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000410488|SERVICENOW NEDERLAND B V           |SWITZERLAND|N/A|ServiceNow|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|40909|46055|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000448034|SERVICENOW UK LTD                  | United Kingdom|N/A|ServiceNow|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|40909|46056|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
1000392210|SERVICENOW INC|UNITED STATES|N/A|ServiceNow|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|40909|46057|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||Yes
IBM_IMP0226|Blue Box Group  Inc.|160 Greentree Drive  Suite 101  DE-19904  -   USA|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|42370|46058|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_EXP0028|Softlayer Technologies France S.A.S.|7 rue Petit 92110 Clichyÿ  -  France|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46059|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straáe 30-34  65936 Frankfurt am Main  -  Germany|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46060|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_EXP0070|SoftLayer Technologies Italia S.r.l.ÿ|Via Monzoro 101 ? 105ÿ 20010 Cornaredo (MI)  -  Italy|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46061|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_EXP0110|SoftLayer Dutch Holdings B.V|Paul van Vlissingenstraat 16 1096 BK Amsterdam   -  Netherlands|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46062|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_EXP0111|SoftLayer Technologies Netherlands B.V.|Paul van Vlissingenstraat 16 1096 BK Amsterdam   -  Netherlands|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46063|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_EXP0161|Softlayer Technologies UK Limited|8 Lincoln's Inn Fields  London  WC2A 3BP  -  United Kingdom|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46064|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46065|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0032|Softlayer Technologies do Brasil Ltda.|Rua Presbitero Plinio Alves De Souza  n. 757  Bairro Medeiros  Jundiai  13212-181  -   Brazil|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46066|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0050|SoftLayer Technologies Canada Corporation / Societe SoftLayer Technologies Canada|1959 Upper Water Street  Suite 900  Halifax  B3J3N2  -   Canada|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46067|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0085|Softlayer Technologies Hong Kong Limited|Level 54  Hopewell Centre  183 Queen's Road East  -   Hong Kong|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46068|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0100|SoftLayer Technologies India Private Limited|No.12  Subramanya Arcade  Bannerghatta Main Road  -   India|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46069|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0140|SoftLayer Technologies Japan K.K.|19-21 Nihonbashi Hakozaki-cho Chuo-ku  Tokyo 103-8510  -   Japan|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46070|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0163|SoftLayer Technologies Mexico  S. de R.L. de C.V.|Alfonso N poles Gandara 3111  Parque  Corporativo de Pe¤a Blanca  Santa Fe 01210  -   Mexico|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46071|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46072|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0326|Softlayer Holdings  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46073|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46074|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46075|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
IBM_IMP0329|Softlayer Technologies  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|IBM Control Desk|Distributed Middleware  Databases  Servers and Storage Management|41640|46076|Stephen A Hobbs/Atlanta/IBM|Stephen A Hobbs/Atlanta/IBM||
1000319666|CITRIX SYSTEMS|UNITED STATES|N/A|XenDesktop|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Mahesh Balakrishnan|Mahesh Balakrishnan|04-May-18: As per June Rooker info  this Tool does not process Client Controlled PD|No
1000319666|CITRIX SYSTEMS|UNITED STATES|N/A|XenApp|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Mahesh Balakrishnan|Mahesh Balakrishnan|04-May-18: As per June Rooker info  this Tool does not process Client Controlled PD|No
1000319666|CITRIX SYSTEMS|UNITED STATES|N/A|Netscaler|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Mahesh Balakrishnan|Mahesh Balakrishnan|04-May-18: As per June Rooker info  this Tool does not process Client Controlled PD|No
288700800|CITRIX SYS|AUSTRALIA|N/A|XenDesktop|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Mahesh Balakrishnan|Mahesh Balakrishnan|04-May-18: As per June Rooker info  this Tool does not process Client Controlled PD|No
288700800|CITRIX SYS|AUSTRALIA|N/A|XenApp|Mobility Services Delivery; Managed Mobility and Workplace Support Services |||Mahesh Balakrishnan|Mahesh Balakrishnan|04-May-18: As per June Rooker info  this Tool does not process Client Controlled PD|No
IBM_IMP0329|Softlayer Technologies  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|SoftLayer hosting||41591|||Qureshi  Farooq||
1000195612|AT&T|UNITED STATES|N/A|Network|Managed Network Services||||Qureshi  Farooq|We do not directly deal with the AT&T and do not know exactly which one is the corect entity  listing both.  At Boulder location  the AT&T manages the network side for the whole DC and some of our legacy machines are there.|No
1000125745|AT&T|UNITED STATES|N/A|Network|Managed Network Services||||Qureshi  Farooq|We do not directly deal with the AT&T and do not know exactly which one is the corect entity  listing both.  At Boulder location  the AT&T manages the network side for the whole DC and some of our legacy machines are there.|No
IBM_IMP0096|IBM India Private Limited|No.12  Subramanya Arcade  Bannerghatta Main Road  Bangaluru - 560029  -   India|N/A|OS  Middleware  Security|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|||Anderson  Leo|Qureshi  Farooq||
IBM_IMP0057|IBM (China) Co.  Ltd.|7F  Building 10  399 Keyuan Road  Zhangjiang Hi-Tech Park   Shanghai  ÿ201203  -   China|N/A|Cognos/DataStage|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration||||Qureshi  Farooq||
IBM_IMP0070|IBM Business Transformation Center  S.r.l.|F30 Americas Free Trade Zone  Calle La Rusia  -   Costa Rica|N/A|Cognos/DataStage|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration||||Qureshi  Farooq||
IBM_IMP0043|International Business Machines Canada Limited|3600 Steeles Avenue East   Ontario L3R 9Z7  -   Canada|N/A|Cognos/DataStage|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration||||Qureshi  Farooq||
IBM_IMP0002|IBM Argentina Sociedad de Responsabilidad Limitada|Pasaje Ingeniero Enrique Butty 275  piso 21  Buenos Aires  ÿC1001AFA  -   Argentina|N/A|Cognos/DataStage|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration||||Qureshi  Farooq||
IBM_IMP0029|IBM Brasil-Industria  Maquinas e Servicos Limitada|Av. Pasteur  138/146  Botafogo  Rio de Janeiro  RJÿ22290-240  -   Brazil|N/A|Cognos/DataStage|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration||||Qureshi  Farooq||
IBM_EXP0116|IBM Polska Sp. z o.o.IBM BTO Business Consulting Services Sp.z.o.o.|ul. Krakowiak¢w 32  02-255 Warszawaul. Krakowiakow 32  02 - 255 Warszawa  -  Poland|N/A|Cognos/DataStage|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration||||Qureshi  Farooq||
000424|CRYS COMPU|ROMANIA|N/A|Identity Governance and Intelligence (IGI) |Identity and Access Management as a Service (IAMaaS)|||Evelyn Anderson/Houston/IBM  Prema Vivekanandan/Boulder/IBM|Ashiq Pai/India/IBM  Alberto Mainieri/Costa Rica/IBM|L2 - LCM support for  Identity & Access Management (*all)  Tools|Yes
