<<<<<<< HEAD
Procurement Reference (Mandatory for Third Party - 1° Tier Vendor)  or IBM identification Nbr.	Entity Name (IBM or Third Party vendor)	Address/country	Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors	Offering ID (level 30)	Offering ID (level 40)	In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))	On boarding	Off-Boarding	Offering Owner	Assesment Owner	NOTE
Akami077	Akamai Technologies  GmbH	GERMANY	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami022	AT GmbH	GERMANY	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami085	Akamai Technologies	HUNGARY	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami030	AT GmbH	HUNGARY	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami090	Akamai Technologies	LATVIA	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami035	AT GmbH	LATVIA	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami091	Akamai Technologies	LITHUANIA	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami036	AT GmbH	LITHUANIA	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami086	Akamai Technologies	ROMANIA	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami031	AT GmbH	ROMANIA	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami084	Akamai Technologies	SLOVAKIA	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami029	AT GmbH	SLOVAKIA	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami088	Akamai Technologies	SLOVENIA	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami033	AT GmbH	SLOVENIA	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami076	Akamai Technologies  Hong Kong Ltd.	CHINA	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami021	AT Hong Kong Ltd.	CHINA	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami065	Akamai Technologies  Hong Kong Ltd.	HONG KONG	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami010	AT Hong Kong Ltd.	HONG KONG	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami059	Akamai Technologies International AG	ARGENTINA	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami004	AT International AG	ARGENTINA	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami061	Akamai Technologies	CHILE	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami006	AT International AG	CHILE	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami062	Akamai Technologies	COLOMBIA	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami007	AT International AG	COLOMBIA	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami063	Akamai Technologies	PERU	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami008	AT International AG	PERU	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami081	Akamai Technologies	QATAR	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami026	AT International AG	QATAR	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami078	Akamai Technologies International AG	SWITZERLAND	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami023	AT International AG	SWITZERLAND	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami105	Akamai Technologies Israel Ltd.	ISRAEL	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
